Vivado Simulator 2016.2
Time resolution is 1 ps
 0 *  0 =   1, not   0
 0 *  1 =   1, not   0
 0 *  2 =   1, not   0
 0 *  3 =   1, not   0
 0 *  4 =   1, not   0
 0 *  5 =   1, not   0
 0 *  6 =   1, not   0
 0 *  7 =   1, not   0
 0 *  8 =   1, not   0
 0 *  9 =   1, not   0
 0 * 10 =   1, not   0
 0 * 11 =   1, not   0
 0 * 12 =   1, not   0
 0 * 13 =   1, not   0
 0 * 14 =   1, not   0
 0 * 15 =   1, not   0
 1 *  0 =   1, not   0
 1 *  1 =   2, not   1
 1 *  2 =   3, not   2
 1 *  3 =   4, not   3
 1 *  4 =   5, not   4
 1 *  5 =   6, not   5
 1 *  6 =   7, not   6
 1 *  7 =   8, not   7
 1 *  8 =   9, not   8
 1 *  9 =  10, not   9
 1 * 10 =  11, not  10
 1 * 11 =  12, not  11
 1 * 12 =  13, not  12
 1 * 13 =  14, not  13
 1 * 14 =  15, not  14
 1 * 15 =  16, not  15
 2 *  0 =   1, not   0
 2 *  1 =   3, not   2
 2 *  2 =   5, not   4
 2 *  3 =   7, not   6
 2 *  4 =   9, not   8
 2 *  5 =  11, not  10
 2 *  6 =  13, not  12
 2 *  7 =  15, not  14
 2 *  8 =  17, not  16
 2 *  9 =  19, not  18
 2 * 10 =  21, not  20
 2 * 11 =  23, not  22
 2 * 12 =  25, not  24
 2 * 13 =  27, not  26
 2 * 14 =  29, not  28
 2 * 15 =  31, not  30
 3 *  0 =   1, not   0
 3 *  1 =   4, not   3
 3 *  2 =   7, not   6
 3 *  3 =  10, not   9
 3 *  4 =  13, not  12
 3 *  5 =  16, not  15
 3 *  6 =  19, not  18
 3 *  7 =  22, not  21
 3 *  8 =  25, not  24
 3 *  9 =  28, not  27
 3 * 10 =  31, not  30
 3 * 11 =  34, not  33
 3 * 12 =  37, not  36
 3 * 13 =  40, not  39
 3 * 14 =  43, not  42
 3 * 15 =  46, not  45
 4 *  0 =   1, not   0
 4 *  1 =   5, not   4
 4 *  2 =   9, not   8
 4 *  3 =  13, not  12
 4 *  4 =  17, not  16
 4 *  5 =  21, not  20
 4 *  6 =  25, not  24
 4 *  7 =  29, not  28
 4 *  8 =  33, not  32
